,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
155,43.0,28.0,13.0,59.0,6.62,14.93,23.6,2,2.4,23.0,261.7
159,13.0,37.0,14.0,49.0,6.97,11.14,17.5,1,2.0,48.3,165.3
186,21.0,10.0,66.0,23.0,6.55,13.05,30.7,5,2.6,5.5,43.1
188,14.0,24.0,15.0,61.0,6.58,18.0,61.1,10,3.8,4.5,50.8
242,12.0,6.0,39.0,54.0,6.15,15.57,123.9,1,6.9,8.3,67.4
341,29.0,36.0,12.0,51.0,6.48,10.99,11.1,1,1.4,0.0,60.7
430,1.0,5.0,80.0,15.0,6.57,10.29,6.8,0,0.8,74.3,242.2
442,9.0,28.0,33.0,40.0,6.97,19.64,16.5,3,1.9,16.3,214.8
497,6.0,23.0,18.0,59.0,7.0,16.67,36.3,2,3.7,10.6,68.3
506,17.0,30.0,12.0,58.0,6.88,13.81,16.0,1,1.9,53.7,150.7
515,13.0,11.0,51.0,37.0,6.49,14.8,21.5,1,2.3,93.1,199.7
522,10.0,7.0,56.0,37.0,6.41,18.28,26.8,1,2.8,10.6,35.0
523,6.0,11.0,40.0,49.0,6.83,10.52,15.6,1,1.6,7.6,60.0
535,10.0,20.0,39.0,41.0,6.34,13.1,9.0,0,1.4,22.0,58.9
550,21.0,32.0,18.0,49.0,6.94,14.7,14.7,3,1.8,39.6,155.1
561,37.0,36.0,15.0,49.0,6.64,16.11,64.8,2,6.3,14.0,570.4
595,9.0,23.0,39.0,38.0,6.89,11.15,21.8,4,2.2,6.1,268.7
623,21.0,2.0,85.0,13.0,6.03,17.38,13.1,0,1.4,48.4,142.6
666,1.0,9.0,60.0,31.0,6.78,18.55,14.3,2,1.3,7.7,474.3
673,1.0,19.0,28.0,53.0,6.16,11.99,37.8,1,3.6,5.4,271.9
690,22.0,33.0,21.0,46.0,6.8,17.99,19.9,3,2.1,0.0,111.3
696,12.0,18.0,35.0,47.0,6.34,19.99,11.9,0,1.1,0.0,108.1
711,31.0,40.0,14.0,46.0,6.84,13.97,31.3,3,3.2,8.4,100.2
729,1.0,6.0,72.0,22.0,6.58,10.06,25.7,1,2.5,12.1,288.9
