,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
16,45.0,11.0,44.0,45.0,5.86,14.0,34.1,0,3.6,46.1,161.3
30,12.0,23.0,26.0,51.0,5.65,25.3,30.8,0,3.1,30.7,121.1
35,13.0,12.0,43.0,45.0,5.92,31.8,18.0,1,2.0,36.3,205.2
66,33.0,17.0,49.0,34.0,5.68,38.5,19.0,1,1.9,56.0,172.0
72,17.0,19.0,33.0,48.0,5.73,18.27,24.9,1,2.6,27.4,219.7
94,15.0,25.0,26.0,49.0,5.61,34.2,23.8,1,2.5,51.5,245.1
124,5.0,14.0,28.0,57.0,5.74,18.77,71.0,2,7.3,43.1,130.1
156,34.0,17.0,25.0,58.0,5.55,13.32,42.8,0,3.7,15.6,186.3
158,15.0,33.0,12.0,55.0,5.98,10.43,11.2,1,1.3,26.0,133.1
160,60.0,25.0,23.0,52.0,5.6,14.42,44.7,0,3.4,17.9,730.7
173,12.0,22.0,15.0,63.0,5.6,11.73,54.4,0,5.0,8.3,180.3
180,21.0,8.0,51.0,41.0,5.57,17.54,41.7,4,2.9,18.8,76.5
198,36.0,24.0,21.0,55.0,5.54,12.76,70.0,2,4.5,8.5,92.3
238,8.0,7.0,46.0,47.0,5.59,20.4,12.6,0,1.4,5.4,10.0
270,16.0,32.0,12.0,56.0,5.69,10.16,25.7,1,2.8,0.0,61.0
277,10.0,20.0,27.0,53.0,5.69,19.57,34.9,1,2.4,0.0,66.5
282,24.0,39.0,8.0,53.0,5.82,14.43,11.9,1,1.5,5.2,140.5
283,16.0,28.0,20.0,52.0,5.83,16.37,22.1,0,2.4,12.1,333.6
286,29.0,30.0,11.0,59.0,5.72,25.2,63.5,0,5.8,10.1,457.7
288,37.0,7.0,51.0,42.0,5.7,39.1,124.7,1,8.2,22.9,95.8
293,11.0,25.0,24.0,51.0,5.98,18.1,12.3,0,1.4,0.0,68.1
296,27.0,23.0,18.0,59.0,5.78,37.6,27.8,0,3.2,7.3,1834.3
299,16.0,15.0,28.0,57.0,5.71,15.72,32.8,1,3.8,6.0,49.6
304,29.0,38.0,15.0,47.0,5.98,31.6,32.3,1,3.6,16.7,212.5
305,6.0,21.0,33.0,46.0,5.97,15.69,19.8,1,1.9,18.7,86.0
309,7.0,20.0,19.0,60.0,5.73,39.7,14.4,0,2.0,15.9,137.2
344,9.0,13.0,37.0,50.0,5.86,19.92,17.6,1,2.0,6.5,78.2
387,36.0,22.0,32.0,46.0,5.79,18.09,20.7,0,1.6,4.0,110.3
414,8.0,11.0,60.0,29.0,5.78,17.71,10.0,1,1.3,85.9,244.3
428,2.0,5.0,80.0,15.0,5.78,15.44,8.9,0,1.0,57.9,191.4
454,4.0,5.0,67.0,28.0,5.51,21.7,47.8,0,2.7,108.0,112.9
465,13.0,5.0,65.0,29.0,5.91,30.2,26.0,0,2.0,50.2,102.7
469,6.0,7.0,64.0,29.0,5.67,14.72,30.8,1,2.8,90.4,38.5
488,4.0,16.0,39.0,45.0,5.76,12.82,21.3,0,2.3,18.7,58.4
492,5.0,7.0,55.0,38.0,5.93,38.4,43.3,0,3.8,11.8,34.6
499,16.0,29.0,27.0,44.0,5.75,12.49,16.3,1,2.2,32.6,96.9
502,41.0,20.0,35.0,46.0,5.63,12.46,34.3,1,3.7,42.7,130.9
504,9.0,20.0,24.0,56.0,5.81,16.5,25.9,0,3.2,68.9,105.5
547,22.0,16.0,27.0,57.0,5.89,19.94,129.7,0,11.1,14.2,192.9
577,34.0,18.0,36.0,47.0,5.51,32.1,42.3,1,3.7,8.9,201.2
578,22.0,20.0,19.0,61.0,5.72,36.9,65.0,1,5.5,6.1,468.3
580,27.0,8.0,64.0,28.0,5.63,16.68,17.7,1,1.6,4.6,218.6
587,19.0,6.0,75.0,18.0,5.7,13.84,18.0,0,1.2,18.6,167.2
589,27.0,23.0,28.0,49.0,5.52,22.0,22.6,0,2.5,24.0,414.7
591,28.0,11.0,50.0,39.0,5.77,39.8,47.4,1,3.1,22.3,246.3
592,14.0,9.0,53.0,38.0,5.63,33.5,82.0,0,4.6,6.4,187.0
611,25.0,10.0,59.0,32.0,5.88,10.54,14.2,1,1.2,10.8,136.2
627,12.0,7.0,59.0,34.0,5.51,36.6,67.0,0,4.0,10.1,211.2
634,11.0,7.0,56.0,37.0,5.64,36.0,29.2,1,2.9,44.3,124.9
641,5.0,20.0,34.0,45.0,5.62,16.9,46.8,1,4.4,8.5,235.7
674,2.0,32.0,21.0,48.0,5.74,25.4,45.7,2,3.4,8.1,375.4
675,2.0,20.0,34.0,46.0,5.7,36.1,25.9,1,2.9,7.1,175.4
678,1.0,23.0,22.0,55.0,5.88,18.92,30.5,1,3.3,6.3,333.1
692,2.0,22.0,25.0,53.0,5.63,23.5,14.4,1,1.6,0.0,172.0
693,1.0,24.0,12.0,64.0,5.75,37.6,21.8,1,2.6,4.2,234.9
