,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
2,,,,,5.48,15.85,51.4,0,4.3,26.9,173.2
6,20.0,18.0,35.0,46.0,5.13,32.0,21.1,1,2.1,12.4,36.0
16,45.0,11.0,44.0,45.0,5.86,14.0,34.1,0,3.6,46.1,161.3
21,44.0,23.0,20.0,57.0,6.53,41.7,38.8,1,4.1,82.7,388.2
22,23.0,28.0,7.0,65.0,5.43,42.1,29.8,1,3.5,18.0,59.9
25,16.0,15.0,36.0,49.0,6.78,39.8,30.4,3,3.4,71.8,176.6
29,30.0,26.0,21.0,53.0,6.16,26.9,32.3,1,3.0,51.3,161.6
30,12.0,23.0,26.0,51.0,5.65,25.3,30.8,0,3.1,30.7,121.1
34,8.0,16.0,38.0,46.0,5.55,52.4,39.2,1,4.0,35.7,98.3
35,13.0,12.0,43.0,45.0,5.92,31.8,18.0,1,2.0,36.3,205.2
36,30.0,19.0,45.0,37.0,5.25,42.6,20.2,1,2.0,20.2,84.1
54,9.0,14.0,33.0,53.0,5.73,48.6,37.8,1,3.5,31.2,103.1
55,3.0,4.0,74.0,22.0,5.0,17.14,15.2,0,1.5,59.7,68.2
58,11.0,8.0,49.0,44.0,5.06,38.7,115.1,1,7.0,112.0,132.4
62,17.0,8.0,50.0,42.0,6.94,56.1,65.0,27,4.3,31.1,133.1
64,2.0,3.0,92.0,5.0,5.28,13.06,3.4,0,0.4,10.9,31.5
65,23.0,29.0,8.0,62.0,5.08,42.6,35.8,1,3.4,57.8,259.6
66,33.0,17.0,49.0,34.0,5.68,38.5,19.0,1,1.9,56.0,172.0
72,17.0,19.0,33.0,48.0,5.73,18.27,24.9,1,2.6,27.4,219.7
73,20.0,22.0,29.0,49.0,5.22,42.3,24.6,1,2.8,18.7,77.7
75,14.0,25.0,16.0,59.0,5.95,53.6,34.4,2,3.4,32.8,236.1
83,14.0,9.0,47.0,43.0,5.4,39.5,27.4,0,3.2,49.8,117.2
84,17.0,29.0,33.0,38.0,6.24,28.8,18.2,0,2.3,34.7,242.0
86,14.0,22.0,30.0,48.0,5.13,46.8,40.7,0,3.4,17.9,78.9
91,12.0,28.0,22.0,51.0,6.71,23.6,26.3,1,2.8,39.1,163.2
93,6.0,23.0,40.0,37.0,6.56,24.4,19.7,1,2.1,15.3,77.4
94,15.0,25.0,26.0,49.0,5.61,34.2,23.8,1,2.5,51.5,245.1
96,29.0,18.0,25.0,57.0,5.25,12.85,69.5,0,5.7,18.1,151.7
102,25.0,30.0,13.0,57.0,6.73,20.3,52.7,4,5.3,61.4,366.6
107,4.0,22.0,21.0,57.0,6.64,40.8,36.0,4,3.8,10.2,63.2
109,5.0,14.0,34.0,52.0,5.44,56.6,30.7,1,3.7,77.0,300.2
