,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
29,30.0,26.0,21.0,53.0,6.16,26.9,32.3,1,3.0,51.3,161.6
77,16.0,21.0,14.0,64.0,6.3,82.1,37.5,5,4.6,124.6,253.1
84,17.0,29.0,33.0,38.0,6.24,28.8,18.2,0,2.3,34.7,242.0
129,38.0,18.0,31.0,51.0,6.47,113.1,53.8,2,5.9,51.7,199.6
146,23.0,23.0,29.0,48.0,6.2,27.0,34.1,1,4.2,15.9,34.4
174,38.0,21.0,14.0,65.0,6.3,20.7,119.8,4,9.7,12.0,199.0
205,28.0,18.0,18.0,64.0,6.26,39.8,102.9,37,6.6,15.1,133.9
211,42.0,18.0,18.0,64.0,6.22,34.2,124.8,37,8.5,10.3,162.1
242,12.0,6.0,39.0,54.0,6.15,15.57,123.9,1,6.9,8.3,67.4
276,15.0,23.0,22.0,55.0,6.46,88.6,61.1,5,5.3,17.6,249.8
341,29.0,36.0,12.0,51.0,6.48,10.99,11.1,1,1.4,0.0,60.7
405,3.0,6.0,58.0,36.0,6.26,25.6,26.3,1,2.7,24.9,95.8
412,5.0,15.0,57.0,28.0,6.33,24.2,7.6,1,1.0,61.0,195.4
415,5.0,14.0,48.0,39.0,6.14,26.9,9.8,1,1.2,30.3,129.1
461,9.0,28.0,12.0,60.0,6.2,68.6,75.8,1,7.2,108.4,267.5
473,4.0,28.0,15.0,57.0,6.16,31.7,44.6,1,5.1,100.0,585.0
485,9.0,26.0,17.0,57.0,6.39,69.2,34.2,1,4.2,32.6,149.8
511,4.0,14.0,40.0,46.0,6.15,39.6,30.7,1,3.3,24.7,62.5
515,13.0,11.0,51.0,37.0,6.49,14.8,21.5,1,2.3,93.1,199.7
522,10.0,7.0,56.0,37.0,6.41,18.28,26.8,1,2.8,10.6,35.0
535,10.0,20.0,39.0,41.0,6.34,13.1,9.0,0,1.4,22.0,58.9
555,35.0,33.0,12.0,55.0,6.34,46.5,72.7,1,6.5,4.5,213.3
619,9.0,5.0,60.0,35.0,6.45,44.5,29.5,2,3.0,9.6,48.4
623,21.0,2.0,85.0,13.0,6.03,17.38,13.1,0,1.4,48.4,142.6
632,10.0,9.0,46.0,45.0,6.4,81.2,55.9,2,3.4,26.6,131.5
640,9.0,28.0,15.0,57.0,6.3,43.7,20.4,1,2.7,41.3,114.2
671,2.0,10.0,26.0,64.0,6.14,69.7,115.8,8,9.5,6.6,358.5
673,1.0,19.0,28.0,53.0,6.16,11.99,37.8,1,3.6,5.4,271.9
677,1.0,22.0,18.0,61.0,6.3,83.1,84.9,3,6.8,16.8,511.0
