,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
81,7.0,21.0,25.0,54.0,7.45,15.46,24.8,32,2.4,96.9,254.5
154,31.0,33.0,11.0,56.0,7.42,15.87,18.9,8,2.2,25.2,310.3
155,43.0,28.0,13.0,59.0,6.62,14.93,23.6,2,2.4,23.0,261.7
159,13.0,37.0,14.0,49.0,6.97,11.14,17.5,1,2.0,48.3,165.3
163,19.0,29.0,17.0,55.0,7.3,14.51,14.6,3,1.8,9.2,152.8
170,10.0,15.0,49.0,36.0,7.26,15.54,28.7,16,1.7,8.9,66.9
186,21.0,10.0,66.0,23.0,6.55,13.05,30.7,5,2.6,5.5,43.1
188,14.0,24.0,15.0,61.0,6.58,18.0,61.1,10,3.8,4.5,50.8
242,12.0,6.0,39.0,54.0,6.15,15.57,123.9,1,6.9,8.3,67.4
341,29.0,36.0,12.0,51.0,6.48,10.99,11.1,1,1.4,0.0,60.7
408,4.0,9.0,69.0,22.0,7.14,14.79,12.7,7,1.0,10.1,39.5
430,1.0,5.0,80.0,15.0,6.57,10.29,6.8,0,0.8,74.3,242.2
442,9.0,28.0,33.0,40.0,6.97,19.64,16.5,3,1.9,16.3,214.8
491,14.0,26.0,30.0,45.0,7.19,13.4,24.7,5,2.2,28.7,150.8
497,6.0,23.0,18.0,59.0,7.0,16.67,36.3,2,3.7,10.6,68.3
506,17.0,30.0,12.0,58.0,6.88,13.81,16.0,1,1.9,53.7,150.7
510,28.0,20.0,43.0,37.0,7.31,12.88,13.6,3,1.5,7.1,69.8
515,13.0,11.0,51.0,37.0,6.49,14.8,21.5,1,2.3,93.1,199.7
516,12.0,23.0,36.0,41.0,7.17,11.88,18.0,3,1.8,10.9,97.8
522,10.0,7.0,56.0,37.0,6.41,18.28,26.8,1,2.8,10.6,35.0
523,6.0,11.0,40.0,49.0,6.83,10.52,15.6,1,1.6,7.6,60.0
525,,11.0,54.0,34.0,7.11,14.2,13.3,1,1.4,18.4,165.0
535,10.0,20.0,39.0,41.0,6.34,13.1,9.0,0,1.4,22.0,58.9
544,9.0,13.0,69.0,18.0,7.3,11.75,4.9,3,0.8,43.6,130.3
545,17.0,31.0,24.0,45.0,7.26,12.13,16.1,0,2.1,36.3,158.3
550,21.0,32.0,18.0,49.0,6.94,14.7,14.7,3,1.8,39.6,155.1
561,37.0,36.0,15.0,49.0,6.64,16.11,64.8,2,6.3,14.0,570.4
576,28.0,17.0,28.0,55.0,7.11,17.8,18.2,3,1.9,10.3,243.5
595,9.0,23.0,39.0,38.0,6.89,11.15,21.8,4,2.2,6.1,268.7
610,1.0,17.0,53.0,30.0,7.44,14.91,14.1,0,1.3,31.4,599.3
623,21.0,2.0,85.0,13.0,6.03,17.38,13.1,0,1.4,48.4,142.6
666,1.0,9.0,60.0,31.0,6.78,18.55,14.3,2,1.3,7.7,474.3
673,1.0,19.0,28.0,53.0,6.16,11.99,37.8,1,3.6,5.4,271.9
680,1.0,26.0,21.0,53.0,7.32,13.6,16.8,27,2.3,4.2,139.0
690,22.0,33.0,21.0,46.0,6.8,17.99,19.9,3,2.1,0.0,111.3
696,12.0,18.0,35.0,47.0,6.34,19.99,11.9,0,1.1,0.0,108.1
711,31.0,40.0,14.0,46.0,6.84,13.97,31.3,3,3.2,8.4,100.2
729,1.0,6.0,72.0,22.0,6.58,10.06,25.7,1,2.5,12.1,288.9
734,1.0,36.0,20.0,44.0,7.43,18.74,13.6,50,1.6,6.6,208.2
738,1.0,24.0,29.0,47.0,6.75,10.1,34.2,1,2.8,0.0,139.3
740,0.0,16.0,43.0,42.0,6.64,17.97,71.5,2,4.3,13.4,332.0
742,2.0,33.0,33.0,34.0,7.38,18.4,18.2,7,1.8,9.8,476.0
745,5.0,32.0,33.0,36.0,6.54,11.41,19.8,3,1.9,26.4,558.5
758,15.0,14.0,51.0,35.0,6.08,14.21,11.2,1,1.3,5.5,68.8
759,15.0,54.0,6.0,40.0,7.32,12.43,8.9,1,1.6,4.9,380.4
788,12.0,42.0,15.0,44.0,7.0,13.5,16.7,0,1.7,5.7,197.3
801,4.0,25.0,13.0,63.0,6.11,13.76,7.3,1,1.0,45.9,67.6
894,30.0,20.0,25.0,54.0,6.03,19.7,104.7,0,9.7,19.8,462.1
895,46.0,12.0,31.0,56.0,6.73,11.76,30.6,0,3.5,7.2,71.4
901,42.0,7.0,49.0,44.0,6.41,14.55,36.5,0,3.7,12.7,288.5
926,9.0,11.0,40.0,49.0,7.36,16.39,42.5,175,2.4,4.9,65.3
936,5.0,33.0,15.0,52.0,6.65,11.47,25.8,0,2.6,0.0,178.6
938,5.0,36.0,15.0,49.0,7.1,12.09,9.8,1,1.3,0.0,51.1
948,7.0,58.0,6.0,35.0,6.23,12.56,11.2,0,1.7,0.0,233.4
956,9.0,28.0,21.0,51.0,6.3,15.3,13.7,0,1.9,12.1,74.5
988,2.0,25.0,20.0,55.0,6.28,10.23,27.4,0,2.9,7.3,204.5
991,34.0,19.0,17.0,64.0,7.38,15.31,92.6,10,9.8,10.3,188.6
1034,4.0,23.0,20.0,57.0,7.36,19.65,44.4,286,3.7,7.9,300.0
1046,32.0,23.0,14.0,63.0,6.18,14.5,64.6,1,6.9,11.3,101.3
1050,7.0,25.0,21.0,53.0,6.08,19.2,72.9,1,6.3,11.4,530.7
1059,1.0,28.0,20.0,52.0,6.33,19.09,29.5,1,2.9,0.0,158.2
1073,2.0,8.0,66.0,26.0,7.33,14.31,12.0,10,1.5,43.5,132.7
1116,4.0,15.0,29.0,56.0,6.68,20.0,37.5,1,3.5,5.4,114.7
1117,4.0,23.0,20.0,57.0,7.39,17.77,19.7,44,2.3,7.6,224.3
1120,3.0,30.0,18.0,52.0,6.23,15.6,21.8,1,2.4,57.4,543.7
1127,1.0,11.0,61.0,28.0,6.13,10.29,21.7,1,2.2,85.7,266.5
1128,1.0,20.0,37.0,43.0,6.62,15.78,27.4,2,2.8,112.6,1182.9
1144,3.0,31.0,18.0,52.0,6.64,14.54,22.0,3,1.7,0.0,89.6
1161,5.0,14.0,35.0,51.0,6.02,10.55,46.8,0,3.1,15.1,271.9
1163,14.0,18.0,48.0,34.0,6.2,13.49,22.7,0,2.4,5.6,169.4
1183,30.0,22.0,35.0,43.0,7.04,19.99,19.3,2,2.5,85.6,49.3
1221,13.0,22.0,42.0,36.0,6.07,18.83,12.0,1,1.5,29.8,158.9
1241,36.0,44.0,6.0,50.0,6.62,17.44,20.5,1,2.4,15.1,247.8
1245,42.0,43.0,5.0,52.0,6.68,16.55,23.9,0,2.6,9.3,312.4
