,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
2,,,,,5.48,15.85,51.4,0,4.3,26.9,173.2
6,20.0,18.0,35.0,46.0,5.13,32.0,21.1,1,2.1,12.4,36.0
55,3.0,4.0,74.0,22.0,5.0,17.14,15.2,0,1.5,59.7,68.2
58,11.0,8.0,49.0,44.0,5.06,38.7,115.1,1,7.0,112.0,132.4
64,2.0,3.0,92.0,5.0,5.28,13.06,3.4,0,0.4,10.9,31.5
83,14.0,9.0,47.0,43.0,5.4,39.5,27.4,0,3.2,49.8,117.2
96,29.0,18.0,25.0,57.0,5.25,12.85,69.5,0,5.7,18.1,151.7
110,3.0,14.0,45.0,41.0,5.07,18.62,16.8,1,1.8,31.6,51.5
117,11.0,19.0,35.0,46.0,5.27,35.8,21.3,0,2.4,21.1,96.0
120,4.0,21.0,31.0,47.0,5.4,32.1,25.7,1,2.7,70.2,294.6
131,3.0,24.0,20.0,56.0,5.24,18.41,51.9,1,5.0,13.1,149.8
135,1.0,7.0,59.0,34.0,5.11,36.2,80.4,0,3.8,23.9,42.3
168,20.0,11.0,55.0,34.0,5.33,26.1,88.9,1,6.2,22.8,404.8
171,22.0,21.0,24.0,55.0,5.0,19.66,40.6,0,3.4,8.4,55.4
178,25.0,9.0,50.0,41.0,5.08,17.49,41.7,1,4.2,24.5,147.2
184,13.0,22.0,17.0,60.0,5.25,16.79,80.1,1,7.7,7.9,146.1
187,8.0,21.0,17.0,61.0,5.15,14.61,66.3,1,4.5,10.0,60.2
207,10.0,16.0,17.0,67.0,5.2,19.17,115.3,3,9.1,19.5,131.6
217,28.0,10.0,39.0,51.0,5.0,10.31,30.7,0,2.4,26.0,84.2
241,20.0,5.0,61.0,34.0,5.31,11.92,14.2,0,1.2,4.5,10.7
272,23.0,11.0,41.0,48.0,5.29,25.4,30.5,0,3.1,4.8,38.9
278,17.0,14.0,20.0,66.0,5.26,12.23,68.3,1,4.9,0.0,27.2
280,35.0,17.0,34.0,48.0,5.22,25.3,32.2,1,3.1,7.0,363.4
318,5.0,33.0,28.0,39.0,5.14,28.1,16.8,1,1.9,48.0,248.0
319,13.0,33.0,19.0,48.0,5.41,17.63,23.5,1,2.3,8.3,134.3
324,8.0,3.0,73.0,24.0,5.08,14.01,31.7,0,2.3,17.3,66.0
329,17.0,26.0,16.0,58.0,5.3,10.24,21.2,0,2.5,0.0,192.1
330,46.0,11.0,40.0,49.0,5.43,30.0,19.2,1,2.5,4.7,21.3
346,20.0,17.0,32.0,51.0,5.08,32.3,74.1,1,5.6,21.9,81.6
350,12.0,32.0,14.0,53.0,5.09,14.03,25.6,0,2.8,0.0,69.3
370,8.0,31.0,17.0,52.0,5.1,19.65,15.5,1,1.8,22.3,135.3
