,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
2,,,,,5.48,15.85,51.4,0,4.3,26.9,173.2
4,28.0,10.0,46.0,44.0,4.04,28.4,43.1,1,2.3,6.3,38.6
5,18.0,14.0,36.0,50.0,4.41,41.8,32.4,0,3.3,7.5,48.0
6,20.0,18.0,35.0,46.0,5.13,32.0,21.1,1,2.1,12.4,36.0
7,13.0,14.0,36.0,50.0,4.16,72.4,53.2,0,4.2,52.1,158.5
10,26.0,13.0,39.0,48.0,4.94,35.0,46.5,0,3.6,49.7,153.1
13,23.0,25.0,17.0,58.0,4.33,52.9,48.2,0,4.6,14.6,103.6
16,45.0,11.0,44.0,45.0,5.86,14.0,34.1,0,3.6,46.1,161.3
18,8.0,10.0,47.0,44.0,4.33,53.6,48.2,0,4.9,19.0,103.7
21,44.0,23.0,20.0,57.0,6.53,41.7,38.8,1,4.1,82.7,388.2
22,23.0,28.0,7.0,65.0,5.43,42.1,29.8,1,3.5,18.0,59.9
24,18.0,35.0,8.0,57.0,4.52,48.4,45.2,1,5.1,9.0,54.0
25,16.0,15.0,36.0,49.0,6.78,39.8,30.4,3,3.4,71.8,176.6
26,21.0,8.0,56.0,37.0,4.14,15.12,62.1,0,2.7,14.8,57.2
27,15.0,5.0,53.0,41.0,4.55,34.3,180.5,0,10.8,54.1,392.9
28,10.0,6.0,55.0,39.0,4.84,24.9,50.6,1,4.2,11.1,117.3
29,30.0,26.0,21.0,53.0,6.16,26.9,32.3,1,3.0,51.3,161.6
30,12.0,23.0,26.0,51.0,5.65,25.3,30.8,0,3.1,30.7,121.1
31,4.0,9.0,37.0,55.0,4.32,56.0,31.4,0,3.3,17.7,54.7
32,58.0,6.0,49.0,45.0,4.18,13.16,265.4,1,8.1,15.7,158.1
33,5.0,8.0,45.0,48.0,5.13,70.6,35.1,4,3.8,58.4,70.3
34,8.0,16.0,38.0,46.0,5.55,52.4,39.2,1,4.0,35.7,98.3
35,13.0,12.0,43.0,45.0,5.92,31.8,18.0,1,2.0,36.3,205.2
36,30.0,19.0,45.0,37.0,5.25,42.6,20.2,1,2.0,20.2,84.1
37,51.0,4.0,61.0,34.0,4.45,67.0,194.6,0,10.5,53.8,224.6
41,31.0,4.0,75.0,21.0,4.09,69.3,328.1,1,14.3,108.9,439.2
43,14.0,4.0,65.0,31.0,4.32,31.8,112.9,0,7.6,26.7,158.5
44,16.0,5.0,66.0,28.0,4.49,28.4,314.8,0,14.5,22.8,326.9
46,25.0,27.0,21.0,52.0,5.1,66.3,32.9,1,3.6,42.7,214.8
48,18.0,11.0,48.0,41.0,4.04,13.51,48.4,1,2.8,17.0,61.9
49,7.0,6.0,57.0,38.0,4.48,40.7,44.1,0,4.0,25.2,90.3
50,33.0,27.0,11.0,62.0,4.43,68.2,56.2,1,5.8,51.3,197.4
51,9.0,8.0,58.0,34.0,4.87,22.2,20.5,1,2.1,51.0,191.4
52,29.0,12.0,37.0,51.0,4.11,47.2,35.3,0,3.0,44.1,158.3
53,12.0,5.0,58.0,36.0,4.82,35.7,40.4,0,3.5,60.3,229.2
54,9.0,14.0,33.0,53.0,5.73,48.6,37.8,1,3.5,31.2,103.1
55,3.0,4.0,74.0,22.0,5.0,17.14,15.2,0,1.5,59.7,68.2
58,11.0,8.0,49.0,44.0,5.06,38.7,115.1,1,7.0,112.0,132.4
59,12.0,11.0,38.0,51.0,4.29,51.9,55.1,1,4.2,17.7,170.6
60,21.0,18.0,33.0,49.0,4.19,38.5,26.3,0,3.0,33.6,124.5
62,17.0,8.0,50.0,42.0,6.94,56.1,65.0,27,4.3,31.1,133.1
64,2.0,3.0,92.0,5.0,5.28,13.06,3.4,0,0.4,10.9,31.5
65,23.0,29.0,8.0,62.0,5.08,42.6,35.8,1,3.4,57.8,259.6
66,33.0,17.0,49.0,34.0,5.68,38.5,19.0,1,1.9,56.0,172.0
69,20.0,10.0,46.0,43.0,4.22,65.1,55.4,1,4.8,19.2,208.3
72,17.0,19.0,33.0,48.0,5.73,18.27,24.9,1,2.6,27.4,219.7
73,20.0,22.0,29.0,49.0,5.22,42.3,24.6,1,2.8,18.7,77.7
74,29.0,43.0,14.0,43.0,7.58,18.84,15.2,55,2.0,18.7,243.9
75,14.0,25.0,16.0,59.0,5.95,53.6,34.4,2,3.4,32.8,236.1
76,6.0,18.0,28.0,54.0,6.92,62.3,41.6,24,4.9,35.1,215.8
81,7.0,21.0,25.0,54.0,7.45,15.46,24.8,32,2.4,96.9,254.5
83,14.0,9.0,47.0,43.0,5.4,39.5,27.4,0,3.2,49.8,117.2
84,17.0,29.0,33.0,38.0,6.24,28.8,18.2,0,2.3,34.7,242.0
85,4.0,8.0,66.0,26.0,4.79,32.7,26.9,0,2.3,18.0,93.6
86,14.0,22.0,30.0,48.0,5.13,46.8,40.7,0,3.4,17.9,78.9
89,11.0,43.0,14.0,42.0,7.42,24.9,27.3,166,3.3,66.2,665.5
91,12.0,28.0,22.0,51.0,6.71,23.6,26.3,1,2.8,39.1,163.2
93,6.0,23.0,40.0,37.0,6.56,24.4,19.7,1,2.1,15.3,77.4
94,15.0,25.0,26.0,49.0,5.61,34.2,23.8,1,2.5,51.5,245.1
95,34.0,9.0,48.0,43.0,4.18,78.1,138.9,0,10.7,97.9,467.6
96,29.0,18.0,25.0,57.0,5.25,12.85,69.5,0,5.7,18.1,151.7
102,25.0,30.0,13.0,57.0,6.73,20.3,52.7,4,5.3,61.4,366.6
103,3.0,13.0,42.0,46.0,4.0,27.7,119.1,1,6.1,20.1,153.6
104,4.0,39.0,23.0,38.0,7.47,28.3,22.9,134,3.2,25.7,519.0
105,3.0,23.0,48.0,28.0,7.38,30.4,15.3,22,1.9,22.7,189.2
107,4.0,22.0,21.0,57.0,6.64,40.8,36.0,4,3.8,10.2,63.2
108,5.0,26.0,17.0,57.0,4.83,32.4,35.8,1,4.1,18.9,73.6
109,5.0,14.0,34.0,52.0,5.44,56.6,30.7,1,3.7,77.0,300.2
110,3.0,14.0,45.0,41.0,5.07,18.62,16.8,1,1.8,31.6,51.5
111,74.0,11.0,52.0,37.0,4.3,19.63,71.4,1,4.6,82.5,78.7
112,4.0,10.0,39.0,50.0,4.1,18.88,78.0,1,5.5,27.1,75.4
113,21.0,22.0,26.0,52.0,4.72,77.0,35.2,0,4.2,26.8,252.0
115,4.0,16.0,41.0,44.0,4.75,57.4,29.0,1,2.6,24.0,106.8
116,50.0,13.0,35.0,52.0,4.87,40.0,48.3,0,4.5,38.7,143.8
117,11.0,19.0,35.0,46.0,5.27,35.8,21.3,0,2.4,21.1,96.0
118,10.0,5.0,38.0,57.0,4.64,64.1,48.9,0,4.4,13.1,147.8
119,8.0,8.0,33.0,58.0,4.09,46.8,60.8,0,5.8,27.0,150.3
120,4.0,21.0,31.0,47.0,5.4,32.1,25.7,1,2.7,70.2,294.6
123,24.0,5.0,60.0,35.0,4.13,57.6,441.5,0,14.7,89.6,185.1
124,5.0,14.0,28.0,57.0,5.74,18.77,71.0,2,7.3,43.1,130.1
125,83.0,4.0,71.0,26.0,4.85,11.84,15.0,1,1.3,8.1,15.7
131,3.0,24.0,20.0,56.0,5.24,18.41,51.9,1,5.0,13.1,149.8
135,1.0,7.0,59.0,34.0,5.11,36.2,80.4,0,3.8,23.9,42.3
136,60.0,15.0,22.0,62.0,4.93,29.9,114.3,1,10.2,88.6,417.3
137,18.0,12.0,44.0,44.0,5.45,57.7,36.8,1,3.9,18.8,148.7
138,2.0,18.0,33.0,49.0,4.07,65.0,33.8,0,3.8,26.9,209.6
141,4.0,10.0,39.0,51.0,4.77,47.4,38.1,1,3.6,21.6,47.5
142,5.0,9.0,37.0,54.0,4.65,51.5,38.0,1,3.7,29.9,80.4
144,7.0,23.0,23.0,55.0,5.32,63.1,41.9,0,4.3,15.1,104.3
146,23.0,23.0,29.0,48.0,6.2,27.0,34.1,1,4.2,15.9,34.4
147,11.0,12.0,41.0,47.0,5.0,56.4,48.0,0,4.7,73.1,114.8
148,42.0,10.0,39.0,50.0,4.02,35.0,62.3,1,4.5,44.9,163.9
154,31.0,33.0,11.0,56.0,7.42,15.87,18.9,8,2.2,25.2,310.3
155,43.0,28.0,13.0,59.0,6.62,14.93,23.6,2,2.4,23.0,261.7
156,34.0,17.0,25.0,58.0,5.55,13.32,42.8,0,3.7,15.6,186.3
157,18.0,6.0,57.0,37.0,7.51,24.3,91.3,488,3.1,7.2,40.4
158,15.0,33.0,12.0,55.0,5.98,10.43,11.2,1,1.3,26.0,133.1
159,13.0,37.0,14.0,49.0,6.97,11.14,17.5,1,2.0,48.3,165.3
160,60.0,25.0,23.0,52.0,5.6,14.42,44.7,0,3.4,17.9,730.7
163,19.0,29.0,17.0,55.0,7.3,14.51,14.6,3,1.8,9.2,152.8
168,20.0,11.0,55.0,34.0,5.33,26.1,88.9,1,6.2,22.8,404.8
170,10.0,15.0,49.0,36.0,7.26,15.54,28.7,16,1.7,8.9,66.9
