,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
16,45.0,11.0,44.0,45.0,5.86,14.0,34.1,0,3.6,46.1,161.3
72,17.0,19.0,33.0,48.0,5.73,18.27,24.9,1,2.6,27.4,219.7
124,5.0,14.0,28.0,57.0,5.74,18.77,71.0,2,7.3,43.1,130.1
156,34.0,17.0,25.0,58.0,5.55,13.32,42.8,0,3.7,15.6,186.3
158,15.0,33.0,12.0,55.0,5.98,10.43,11.2,1,1.3,26.0,133.1
160,60.0,25.0,23.0,52.0,5.6,14.42,44.7,0,3.4,17.9,730.7
173,12.0,22.0,15.0,63.0,5.6,11.73,54.4,0,5.0,8.3,180.3
180,21.0,8.0,51.0,41.0,5.57,17.54,41.7,4,2.9,18.8,76.5
198,36.0,24.0,21.0,55.0,5.54,12.76,70.0,2,4.5,8.5,92.3
242,12.0,6.0,39.0,54.0,6.15,15.57,123.9,1,6.9,8.3,67.4
270,16.0,32.0,12.0,56.0,5.69,10.16,25.7,1,2.8,0.0,61.0
277,10.0,20.0,27.0,53.0,5.69,19.57,34.9,1,2.4,0.0,66.5
282,24.0,39.0,8.0,53.0,5.82,14.43,11.9,1,1.5,5.2,140.5
283,16.0,28.0,20.0,52.0,5.83,16.37,22.1,0,2.4,12.1,333.6
293,11.0,25.0,24.0,51.0,5.98,18.1,12.3,0,1.4,0.0,68.1
299,16.0,15.0,28.0,57.0,5.71,15.72,32.8,1,3.8,6.0,49.6
305,6.0,21.0,33.0,46.0,5.97,15.69,19.8,1,1.9,18.7,86.0
341,29.0,36.0,12.0,51.0,6.48,10.99,11.1,1,1.4,0.0,60.7
344,9.0,13.0,37.0,50.0,5.86,19.92,17.6,1,2.0,6.5,78.2
387,36.0,22.0,32.0,46.0,5.79,18.09,20.7,0,1.6,4.0,110.3
414,8.0,11.0,60.0,29.0,5.78,17.71,10.0,1,1.3,85.9,244.3
428,2.0,5.0,80.0,15.0,5.78,15.44,8.9,0,1.0,57.9,191.4
469,6.0,7.0,64.0,29.0,5.67,14.72,30.8,1,2.8,90.4,38.5
488,4.0,16.0,39.0,45.0,5.76,12.82,21.3,0,2.3,18.7,58.4
499,16.0,29.0,27.0,44.0,5.75,12.49,16.3,1,2.2,32.6,96.9
502,41.0,20.0,35.0,46.0,5.63,12.46,34.3,1,3.7,42.7,130.9
504,9.0,20.0,24.0,56.0,5.81,16.5,25.9,0,3.2,68.9,105.5
515,13.0,11.0,51.0,37.0,6.49,14.8,21.5,1,2.3,93.1,199.7
522,10.0,7.0,56.0,37.0,6.41,18.28,26.8,1,2.8,10.6,35.0
535,10.0,20.0,39.0,41.0,6.34,13.1,9.0,0,1.4,22.0,58.9
547,22.0,16.0,27.0,57.0,5.89,19.94,129.7,0,11.1,14.2,192.9
580,27.0,8.0,64.0,28.0,5.63,16.68,17.7,1,1.6,4.6,218.6
587,19.0,6.0,75.0,18.0,5.7,13.84,18.0,0,1.2,18.6,167.2
611,25.0,10.0,59.0,32.0,5.88,10.54,14.2,1,1.2,10.8,136.2
623,21.0,2.0,85.0,13.0,6.03,17.38,13.1,0,1.4,48.4,142.6
641,5.0,20.0,34.0,45.0,5.62,16.9,46.8,1,4.4,8.5,235.7
673,1.0,19.0,28.0,53.0,6.16,11.99,37.8,1,3.6,5.4,271.9
678,1.0,23.0,22.0,55.0,5.88,18.92,30.5,1,3.3,6.3,333.1
696,12.0,18.0,35.0,47.0,6.34,19.99,11.9,0,1.1,0.0,108.1
756,31.0,35.0,19.0,46.0,5.88,10.54,31.3,1,2.9,0.0,417.6
758,15.0,14.0,51.0,35.0,6.08,14.21,11.2,1,1.3,5.5,68.8
798,8.0,14.0,32.0,54.0,5.5,11.77,23.6,0,1.8,8.2,50.5
799,53.0,13.0,42.0,45.0,5.84,13.05,14.1,0,1.4,7.9,31.0
801,4.0,25.0,13.0,63.0,6.11,13.76,7.3,1,1.0,45.9,67.6
819,5.0,16.0,47.0,38.0,5.59,16.02,18.8,1,1.4,7.6,120.1
875,9.0,25.0,13.0,63.0,5.84,17.43,79.4,2,8.2,11.6,236.4
894,30.0,20.0,25.0,54.0,6.03,19.7,104.7,0,9.7,19.8,462.1
897,26.0,20.0,31.0,49.0,5.89,12.17,8.4,0,1.2,22.2,57.1
901,42.0,7.0,49.0,44.0,6.41,14.55,36.5,0,3.7,12.7,288.5
948,7.0,58.0,6.0,35.0,6.23,12.56,11.2,0,1.7,0.0,233.4
956,9.0,28.0,21.0,51.0,6.3,15.3,13.7,0,1.9,12.1,74.5
988,2.0,25.0,20.0,55.0,6.28,10.23,27.4,0,2.9,7.3,204.5
1046,32.0,23.0,14.0,63.0,6.18,14.5,64.6,1,6.9,11.3,101.3
1050,7.0,25.0,21.0,53.0,6.08,19.2,72.9,1,6.3,11.4,530.7
1059,1.0,28.0,20.0,52.0,6.33,19.09,29.5,1,2.9,0.0,158.2
1072,3.0,20.0,33.0,47.0,5.84,15.27,16.6,1,1.3,0.0,61.3
1118,5.0,32.0,17.0,51.0,5.73,16.92,75.9,0,7.4,5.6,144.1
1120,3.0,30.0,18.0,52.0,6.23,15.6,21.8,1,2.4,57.4,543.7
1127,1.0,11.0,61.0,28.0,6.13,10.29,21.7,1,2.2,85.7,266.5
1129,8.0,13.0,45.0,42.0,5.76,19.44,12.5,1,1.3,0.0,68.4
1146,4.0,35.0,10.0,55.0,5.86,19.51,15.7,0,1.9,0.0,137.3
1147,4.0,22.0,30.0,47.0,5.63,15.58,19.9,0,2.0,0.0,72.1
1153,15.0,19.0,48.0,32.0,5.87,19.99,25.2,1,2.4,21.0,135.1
1157,15.0,8.0,65.0,27.0,5.98,11.07,32.2,0,3.0,39.4,259.7
1161,5.0,14.0,35.0,51.0,6.02,10.55,46.8,0,3.1,15.1,271.9
1163,14.0,18.0,48.0,34.0,6.2,13.49,22.7,0,2.4,5.6,169.4
1211,24.0,14.0,39.0,47.0,5.5,12.05,48.9,1,4.3,12.9,56.3
1221,13.0,22.0,42.0,36.0,6.07,18.83,12.0,1,1.5,29.8,158.9
1256,10.0,31.0,7.0,62.0,5.89,13.08,9.8,0,1.4,24.4,167.8
1268,0.0,35.0,14.0,51.0,6.47,10.29,31.6,5,3.0,0.0,162.6
1286,1.0,25.0,14.0,61.0,6.18,16.87,61.8,2,4.7,7.0,263.4
