,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
21,44.0,23.0,20.0,57.0,6.53,41.7,38.8,1,4.1,82.7,388.2
25,16.0,15.0,36.0,49.0,6.78,39.8,30.4,3,3.4,71.8,176.6
62,17.0,8.0,50.0,42.0,6.94,56.1,65.0,27,4.3,31.1,133.1
76,6.0,18.0,28.0,54.0,6.92,62.3,41.6,24,4.9,35.1,215.8
81,7.0,21.0,25.0,54.0,7.45,15.46,24.8,32,2.4,96.9,254.5
89,11.0,43.0,14.0,42.0,7.42,24.9,27.3,166,3.3,66.2,665.5
91,12.0,28.0,22.0,51.0,6.71,23.6,26.3,1,2.8,39.1,163.2
93,6.0,23.0,40.0,37.0,6.56,24.4,19.7,1,2.1,15.3,77.4
102,25.0,30.0,13.0,57.0,6.73,20.3,52.7,4,5.3,61.4,366.6
104,4.0,39.0,23.0,38.0,7.47,28.3,22.9,134,3.2,25.7,519.0
105,3.0,23.0,48.0,28.0,7.38,30.4,15.3,22,1.9,22.7,189.2
107,4.0,22.0,21.0,57.0,6.64,40.8,36.0,4,3.8,10.2,63.2
154,31.0,33.0,11.0,56.0,7.42,15.87,18.9,8,2.2,25.2,310.3
155,43.0,28.0,13.0,59.0,6.62,14.93,23.6,2,2.4,23.0,261.7
159,13.0,37.0,14.0,49.0,6.97,11.14,17.5,1,2.0,48.3,165.3
163,19.0,29.0,17.0,55.0,7.3,14.51,14.6,3,1.8,9.2,152.8
170,10.0,15.0,49.0,36.0,7.26,15.54,28.7,16,1.7,8.9,66.9
183,38.0,12.0,28.0,59.0,7.15,35.4,152.2,105,6.5,11.3,66.3
185,46.0,15.0,22.0,63.0,6.89,41.8,159.7,22,11.4,17.9,98.0
186,21.0,10.0,66.0,23.0,6.55,13.05,30.7,5,2.6,5.5,43.1
188,14.0,24.0,15.0,61.0,6.58,18.0,61.1,10,3.8,4.5,50.8
191,43.0,10.0,41.0,49.0,6.81,68.9,245.1,28,17.9,22.1,183.4
193,31.0,22.0,21.0,58.0,6.88,22.4,90.6,66,5.7,7.2,92.1
194,51.0,20.0,20.0,60.0,7.04,36.7,135.3,51,8.8,11.3,126.3
195,37.0,15.0,23.0,62.0,6.92,41.1,170.6,63,13.1,22.0,161.4
200,28.0,28.0,11.0,62.0,7.24,23.2,62.9,28,6.0,17.9,158.8
203,25.0,23.0,19.0,58.0,6.86,37.6,70.7,55,4.2,10.0,70.6
209,32.0,5.0,61.0,34.0,6.53,78.0,378.3,107,19.1,48.4,364.9
210,58.0,23.0,17.0,60.0,6.85,37.1,116.9,7,8.5,11.2,154.1
336,0.0,25.0,11.0,64.0,7.09,70.8,49.6,17,5.7,24.7,122.6
408,4.0,9.0,69.0,22.0,7.14,14.79,12.7,7,1.0,10.1,39.5
430,1.0,5.0,80.0,15.0,6.57,10.29,6.8,0,0.8,74.3,242.2
442,9.0,28.0,33.0,40.0,6.97,19.64,16.5,3,1.9,16.3,214.8
448,4.0,18.0,31.0,50.0,7.06,33.5,15.6,4,1.7,59.2,379.8
450,18.0,38.0,17.0,45.0,6.68,23.5,23.1,1,2.6,30.5,187.9
457,7.0,19.0,34.0,47.0,6.88,23.4,11.3,1,1.4,81.3,174.2
458,6.0,34.0,16.0,50.0,7.5,57.1,12.5,93,1.8,61.4,234.2
460,7.0,29.0,15.0,56.0,7.16,23.0,20.5,6,2.5,56.5,198.0
463,4.0,24.0,24.0,52.0,7.23,34.9,14.9,16,2.1,77.6,238.8
467,2.0,11.0,60.0,29.0,7.3,30.2,7.7,54,1.3,66.1,153.9
475,3.0,17.0,21.0,61.0,7.11,66.2,62.9,10,5.1,22.1,380.8
479,1.0,13.0,47.0,40.0,7.17,26.6,15.1,32,2.0,35.7,79.7
486,,25.0,21.0,54.0,7.46,37.6,19.9,39,2.4,74.5,349.5
491,14.0,26.0,30.0,45.0,7.19,13.4,24.7,5,2.2,28.7,150.8
497,6.0,23.0,18.0,59.0,7.0,16.67,36.3,2,3.7,10.6,68.3
501,31.0,31.0,16.0,53.0,6.83,22.2,43.9,7,4.6,86.8,472.5
503,23.0,22.0,20.0,58.0,7.0,53.2,88.0,87,8.1,59.0,665.6
506,17.0,30.0,12.0,58.0,6.88,13.81,16.0,1,1.9,53.7,150.7
510,28.0,20.0,43.0,37.0,7.31,12.88,13.6,3,1.5,7.1,69.8
513,6.0,13.0,24.0,63.0,7.16,38.9,165.0,18,12.4,45.0,275.8
514,29.0,9.0,41.0,49.0,6.65,63.1,308.2,6,21.2,30.0,151.6
516,12.0,23.0,36.0,41.0,7.17,11.88,18.0,3,1.8,10.9,97.8
523,6.0,11.0,40.0,49.0,6.83,10.52,15.6,1,1.6,7.6,60.0
525,,11.0,54.0,34.0,7.11,14.2,13.3,1,1.4,18.4,165.0
526,17.0,9.0,37.0,54.0,7.24,54.1,33.6,70,3.3,12.9,61.0
528,51.0,19.0,33.0,48.0,7.36,68.8,67.0,376,6.5,11.3,176.4
529,36.0,16.0,30.0,54.0,7.21,43.9,68.6,93,3.9,6.7,58.5
532,23.0,17.0,39.0,44.0,7.38,35.2,46.0,369,4.2,178.7,218.2
534,15.0,9.0,39.0,52.0,7.41,65.3,124.3,111,3.4,14.2,26.7
538,55.0,14.0,44.0,42.0,7.07,69.2,110.7,100,4.6,49.2,220.4
542,30.0,36.0,10.0,54.0,6.68,20.5,47.1,2,4.0,5.6,160.8
544,9.0,13.0,69.0,18.0,7.3,11.75,4.9,3,0.8,43.6,130.3
545,17.0,31.0,24.0,45.0,7.26,12.13,16.1,0,2.1,36.3,158.3
548,20.0,23.0,19.0,58.0,7.04,23.0,52.6,10,5.5,24.2,67.7
550,21.0,32.0,18.0,49.0,6.94,14.7,14.7,3,1.8,39.6,155.1
556,17.0,14.0,17.0,69.0,6.74,70.5,62.4,1,7.4,13.3,61.3
558,43.0,9.0,34.0,57.0,7.28,58.4,142.6,116,5.5,9.6,44.4
561,37.0,36.0,15.0,49.0,6.64,16.11,64.8,2,6.3,14.0,570.4
568,28.0,18.0,29.0,53.0,7.28,66.4,75.7,67,3.8,61.9,220.3
576,28.0,17.0,28.0,55.0,7.11,17.8,18.2,3,1.9,10.3,243.5
595,9.0,23.0,39.0,38.0,6.89,11.15,21.8,4,2.2,6.1,268.7
597,46.0,27.0,26.0,46.0,7.26,25.8,57.7,69,4.0,15.7,587.6
608,20.0,18.0,41.0,41.0,7.42,27.5,21.1,141,2.2,12.1,577.9
610,1.0,17.0,53.0,30.0,7.44,14.91,14.1,0,1.3,31.4,599.3
621,10.0,8.0,38.0,55.0,7.08,55.7,31.8,10,3.2,10.5,29.3
626,21.0,9.0,43.0,48.0,7.25,36.8,23.9,14,1.7,9.8,75.8
631,20.0,14.0,25.0,61.0,7.12,64.8,103.7,121,4.4,43.7,211.7
639,24.0,9.0,34.0,57.0,6.61,34.7,21.3,1,2.5,8.1,212.3
649,19.0,1.0,90.0,9.0,7.28,21.0,4.2,11,0.6,4.7,24.2
652,18.0,9.0,41.0,51.0,7.12,59.1,34.6,15,3.7,14.2,32.5
653,7.0,17.0,36.0,47.0,7.41,34.4,22.7,109,2.1,7.1,103.7
659,31.0,12.0,39.0,49.0,6.89,75.1,39.2,3,4.7,55.3,362.7
663,16.0,19.0,33.0,47.0,7.3,41.3,25.4,9,3.1,72.7,81.9
666,1.0,9.0,60.0,31.0,6.78,18.55,14.3,2,1.3,7.7,474.3
667,0.0,14.0,52.0,34.0,7.27,33.4,15.9,33,2.0,129.3,1212.2
