,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
16,45.0,11.0,44.0,45.0,5.86,14.0,34.1,0,3.6,46.1,161.3
21,44.0,23.0,20.0,57.0,6.53,41.7,38.8,1,4.1,82.7,388.2
25,16.0,15.0,36.0,49.0,6.78,39.8,30.4,3,3.4,71.8,176.6
29,30.0,26.0,21.0,53.0,6.16,26.9,32.3,1,3.0,51.3,161.6
30,12.0,23.0,26.0,51.0,5.65,25.3,30.8,0,3.1,30.7,121.1
34,8.0,16.0,38.0,46.0,5.55,52.4,39.2,1,4.0,35.7,98.3
35,13.0,12.0,43.0,45.0,5.92,31.8,18.0,1,2.0,36.3,205.2
54,9.0,14.0,33.0,53.0,5.73,48.6,37.8,1,3.5,31.2,103.1
62,17.0,8.0,50.0,42.0,6.94,56.1,65.0,27,4.3,31.1,133.1
66,33.0,17.0,49.0,34.0,5.68,38.5,19.0,1,1.9,56.0,172.0
72,17.0,19.0,33.0,48.0,5.73,18.27,24.9,1,2.6,27.4,219.7
75,14.0,25.0,16.0,59.0,5.95,53.6,34.4,2,3.4,32.8,236.1
81,7.0,21.0,25.0,54.0,7.45,15.46,24.8,32,2.4,96.9,254.5
84,17.0,29.0,33.0,38.0,6.24,28.8,18.2,0,2.3,34.7,242.0
89,11.0,43.0,14.0,42.0,7.42,24.9,27.3,166,3.3,66.2,665.5
91,12.0,28.0,22.0,51.0,6.71,23.6,26.3,1,2.8,39.1,163.2
93,6.0,23.0,40.0,37.0,6.56,24.4,19.7,1,2.1,15.3,77.4
94,15.0,25.0,26.0,49.0,5.61,34.2,23.8,1,2.5,51.5,245.1
102,25.0,30.0,13.0,57.0,6.73,20.3,52.7,4,5.3,61.4,366.6
104,4.0,39.0,23.0,38.0,7.47,28.3,22.9,134,3.2,25.7,519.0
105,3.0,23.0,48.0,28.0,7.38,30.4,15.3,22,1.9,22.7,189.2
107,4.0,22.0,21.0,57.0,6.64,40.8,36.0,4,3.8,10.2,63.2
124,5.0,14.0,28.0,57.0,5.74,18.77,71.0,2,7.3,43.1,130.1
146,23.0,23.0,29.0,48.0,6.2,27.0,34.1,1,4.2,15.9,34.4
154,31.0,33.0,11.0,56.0,7.42,15.87,18.9,8,2.2,25.2,310.3
155,43.0,28.0,13.0,59.0,6.62,14.93,23.6,2,2.4,23.0,261.7
156,34.0,17.0,25.0,58.0,5.55,13.32,42.8,0,3.7,15.6,186.3
158,15.0,33.0,12.0,55.0,5.98,10.43,11.2,1,1.3,26.0,133.1
159,13.0,37.0,14.0,49.0,6.97,11.14,17.5,1,2.0,48.3,165.3
